Liednummer(neu)	Liednummer(alt)	Titel
436	n.v.	Ach bleib mit deiner Gnade bei uns
921	657	Ach wie flüchtig, ach wie nichtig
242	n.v.	Adeste fideles / Nun freut euch, ihr Christen (neu: lat. Text)
829,1	n.v.	Adoramus te (Kv, 4-stg., Taizé)
119	417	Agnus Dei (Adventus et quadragesima)
116	413	Agnus Dei (Lux et origo)
n.v.	421	Agnus Dei (Missa Alme Pater)
111	408	Agnus Dei (Missa de Angelis)
107	404	Agnus Dei (Missa mundi)
n.v.	526,6	All ihr Dürstenden, kommt zum Wasser
619,2	281,2	All ihr Werke des Herrn (Daniel)
397	n.v.	All meine Quellen entspringen in dir (Kanon)
852,1	n.v.	All meine Quellen entspringen in dir, V (Kv)
426	n.v.	All meine Quellen entspringen in dir, VIII (Kv)
n.v.	666	All Morgen ist ganz frisch und neu
733,2	149,1	Alle Enden der Erde, VIII (Kv)
526	589	Alle Tage sing' und sage
645,5	n.v.	Alle wurden erfüllt mit Heiligem Geist, V (Kv)
170	457	Allein Gott in der Höh' sei Ehr
174,1	n.v.	Alleluia (4-stg., Taizé)
175,2	530,7	Alleluia, VI / Halleluja (gregorianisch)
65,3	530,7	Alleluia, VI / Halleluja (Kv, gregorianisch)
87	758,1	Aller Augen warten auf dich (geändert)
556	210	Allerheiligen-Litanei
556	762	Allerheiligen-Litanei
n.v.	552	Alles Leben ist dunkel
455	615	Alles meinem Gott zu Ehren
818	678,1	Alles, was atmet, lobe den Herrn, VII (Kv)
619,1	n.v.	Alles, was Odem hat, lobe den Herrn, V (Kanon)
616,5	678,1	Alles, was Odem hat, VII (Kv) / Alles, was atmet (geändert)
666,1	n.v.	Alma redemptoris mater (Marian. Antiphon)
739	n.v.	Als die Welt verloren
246	n.v.	Als ich bei meinen Schafen wacht'
281	n.v.	Also sprach beim Abendmahle
766	n.v.	Am Ölberg in nächtlicher Stille
780	828	Am Sonntag, eh die Sonn aufging
201,2	n.v.	Amen (1-2-stg., Haugen)
201,3	n.v.	Amen (Kanon)
178	448	Amen, wir glauben (Credo) (verändert)
n.v.	701	Angelangt an der Schwelle des Abends
n.v.	887	Apostel du, von Gott gesandt
124	424,1	Asperges me
346	n.v.	Atme in uns, Heiliger Geist
n.v.	624	Auf dein Wort, Herr, lass uns vertrauen
838	293	Auf dich allein ich baue
36,1	n.v.	Auf dich haben unsere Väter vertraut, II (Kv)
141	525	Auf, lasst uns jubeln dem Herrn, I
631,2	217 Kv	"Auf, werde licht, Jerusalem, IX (Kv) (anderer Text zu ""Singt ihr Christen"")"
644,3	232,1	Auferstanden ist der Herr, VII (Kv)
644,3	238	Auferstanden ist der Herr, VII (Kv)
706	n.v.	Aus den Dörfern und aus Städten
511	n.v.	Aus der Tiefe rufe ich (, Herr,) zu dir, I (Kv, geändert)
283	n.v.	Aus der Tiefe rufe ich zu dir
n.v.	162	Aus der Tiefe unsrer Todesangst
312,5	n.v.	Aus der Tiefe zogst du mich empor, VII (Kv)
727	109	Aus hartem Weh'
86	669	Aus meines Herzens Grunde
277	163	Aus tiefer Not
85	n.v.	Ausgang und Eingang (Kanon)
529	n.v.	Ave Maria (gregorianisch)
537	580	Ave Maria gratia plena (1617)
894	581	Ave Maria klare
527	583	Ave Maria zart
520	596	Ave maris stella
666,2	n.v.	Ave Regina caelorum (Marian. Antiphon)
70,1	n.v.	Baut der Herr nicht das Haus, X (Kv)
418	n.v.	Befiehl du deine Wege
312,3	527,7	Behüte mich, Gott, II (Kv, geändert)
649,2	527,7	Behüte mich, Gott, II (Kv, geändert)
82	n.v.	Behutsam leise nimmst du fort
763	824	Bei stiller Nacht
94	n.v.	Beib bei uns, Herr (4-stg.)
639,3	172,5	Beim Herrn ist Barmherzigkeit, II (Kv) / Beim Herrn ist die Huld (geändert)
639,3	82,1	Beim Herrn ist Barmherzigkeit, II (Kv, geändert)
639,3	191,1	Beim Herrn ist Barmherzigkeit, II (Kv, geändert)
639,3	746,1	Beim Herrn ist Barmherzigkeit, II (Kv, geändert)
518	82,2	Beim Herrn ist Barmherzigkeit, VII (Kv)
518	191,1	Beim Herrn ist Barmherzigkeit, VII (Kv)
518	746,1	Beim Herrn ist Barmherzigkeit, VII (Kv)
282	537	Beim letzten Abendmahle
639,5	160	Bekehre uns (Kv, geändert)
266	160	Bekehre uns, vergib die Sünde
912	n.v.	Bekenner in der Schreckenszeit (Lübecker Märtyrer)
631,5	n.v.	Benedic anima mea, VIII (Kv)
410	n.v.	Benedictus Dominus, VI (Kv, gregorianisch)
